Round 1  –  Family of sample_1
sample_4,0.30258
sample_5,0.41869
sample_7,0.3933
sample_8,0.84417
sample_9,0.82568
sample_10,0.59253
sample_12,0.74406
sample_13,0.95319
sample_14,0.68928
sample_15,0.25707
sample_16,0.89551
sample_17,0.77296
sample_18,0.65197
sample_19,0.78142
sample_20,0.79716
sample_22,0.84719
sample_23,0.35339
sample_24,0.39546
sample_25,0.41247
sample_26,0.62966
sample_27,0.98018
sample_28,0.58832
sample_29,0.85906
sample_31,0.57117
sample_33,0.90029
sample_34,0.45818
sample_35,0.53288
sample_36,0.85513
sample_37,0.72391
sample_38,0.89452
sample_39,0.4396
sample_40,0.52607
sample_41,0.53684
sample_42,0.52066
sample_43,0.79101
sample_44,0.36056
sample_45,0.77565
sample_46,0.53292
sample_47,0.92641
sample_49,0.40381
sample_50,0.87313
sample_51,0.31801
sample_52,0.36961
sample_54,0.48031
sample_57,0.81686
sample_58,0.58252
sample_59,0.4204
sample_60,0.90101
sample_62,0.58519
sample_63,0.92137
sample_64,0.95739
sample_65,0.83127
sample_67,0.81015
sample_68,0.2664
sample_70,0.63781
sample_71,0.71768
sample_72,0.35326
sample_73,0.73837
sample_74,0.53199
sample_75,0.88579
sample_78,0.8082
sample_79,0.3178
sample_81,0.28998
sample_82,0.47145
sample_83,0.81981
sample_84,0.7579
sample_85,0.31165
sample_86,0.84358
sample_88,0.86439
sample_90,0.95201
sample_91,0.3398
sample_92,0.69952
sample_93,0.72127
sample_94,0.68759
sample_95,0.7867
sample_96,0.51679
sample_97,0.88039
sample_98,0.98731
sample_99,0.2908
sample_100,0.99701
sample_101,0.93168
sample_102,0.98395
sample_103,0.95977
sample_104,0.99179
sample_105,0.88951
sample_106,0.35811
sample_107,0.66642
sample_108,0.45186
sample_109,0.57111
sample_110,0.72695
sample_112,0.54557
sample_113,0.72966
sample_114,0.80968
sample_115,0.79627
sample_116,0.83105
sample_117,0.44355
sample_118,0.52137
sample_120,0.61087
sample_121,0.33189
sample_122,0.76482
sample_123,0.87702
sample_124,0.86879
sample_125,0.25328
